timestamp,vibration,pressure,temperature,is_anomaly
2026-03-20 19:12:04.374910,0.498,97.1,45.03,0
2026-03-20 20:12:04.374910,0.511,99.1,43.43,0
2026-03-20 21:12:04.374910,0.397,101.28,45.02,0
2026-03-20 22:12:04.374910,0.429,98.59,44.85,0
2026-03-20 23:12:04.374910,0.579,99.98,44.63,0
2026-03-21 00:12:04.374910,0.477,99.07,46.65,0
2026-03-21 01:12:04.374910,0.554,103.09,45.97,0
2026-03-21 02:12:04.374910,0.517,103.38,45.96,0
2026-03-21 03:12:04.374910,0.602,100.0,45.33,0
2026-03-21 04:12:04.374910,0.469,100.38,45.72,0
2026-03-21 05:12:04.374910,0.489,100.41,45.65,0
2026-03-21 06:12:04.374910,0.452,99.69,44.35,0
2026-03-21 07:12:04.374910,0.515,100.17,44.94,0
2026-03-21 08:12:04.374910,0.513,101.83,45.69,0
2026-03-21 09:12:04.374910,0.442,98.71,45.24,0
2026-03-21 10:12:04.374910,0.524,100.39,42.8,0
2026-03-21 11:12:04.374910,0.58,97.29,44.33,0
2026-03-21 12:12:04.374910,0.485,101.08,46.06,0
2026-03-21 13:12:04.374910,0.461,96.24,45.18,0
2026-03-21 14:12:04.374910,0.477,102.92,44.32,0
2026-03-21 15:12:04.374910,0.511,99.03,44.77,0
2026-03-21 16:12:04.374910,0.535,100.44,45.66,0
2026-03-21 17:12:04.374910,0.457,102.36,43.69,0
2026-03-21 18:12:04.374910,0.5,97.16,44.16,0
2026-03-21 19:12:04.374910,0.523,99.86,44.15,0
2026-03-21 20:12:04.374910,0.521,100.16,46.16,0
2026-03-21 21:12:04.374910,0.455,99.37,46.44,0
2026-03-21 22:12:04.374910,0.451,101.14,44.09,0
2026-03-21 23:12:04.374910,0.502,98.95,45.14,0
2026-03-22 00:12:04.374910,0.42,101.53,44.77,0
2026-03-22 01:12:04.374910,0.439,97.45,46.69,0
2026-03-22 02:12:04.374910,0.542,102.54,43.41,0
2026-03-22 03:12:04.374910,0.523,99.71,47.58,0
2026-03-22 04:12:04.374910,0.546,99.94,43.46,0
2026-03-22 05:12:04.374910,0.435,98.57,43.98,0
2026-03-22 06:12:04.374910,0.538,100.48,43.71,0
2026-03-22 07:12:04.374910,0.497,98.92,44.81,0
2026-03-22 08:12:04.374910,0.363,100.41,45.41,0
2026-03-22 09:12:04.374910,0.57,100.44,46.39,0
2026-03-22 10:12:04.374910,0.507,97.25,44.42,0
2026-03-22 11:12:04.374910,0.532,99.41,44.61,0
2026-03-22 12:12:04.374910,0.553,100.74,45.04,0
2026-03-22 13:12:04.374910,0.503,100.88,44.88,0
2026-03-22 14:12:04.374910,0.558,103.94,44.75,0
2026-03-22 15:12:04.374910,0.527,97.32,44.79,0
2026-03-22 16:12:04.374910,0.47,100.54,45.43,0
2026-03-22 17:12:04.374910,0.462,99.03,44.07,0
2026-03-22 18:12:04.374910,0.451,99.09,45.74,0
2026-03-22 19:12:04.374910,0.562,99.15,46.99,0
2026-03-22 20:12:04.374910,0.487,97.38,44.08,0
2026-03-22 21:12:04.374910,0.414,99.96,44.96,0
2026-03-22 22:12:04.374910,0.475,102.21,44.34,0
2026-03-22 23:12:04.374910,0.516,96.9,45.52,0
2026-03-23 00:12:04.374910,0.517,103.56,44.86,0
2026-03-23 01:12:04.374910,0.491,98.49,44.22,0
2026-03-23 02:12:04.374910,0.632,99.25,45.51,0
2026-03-23 03:12:04.374910,0.485,102.66,44.29,0
2026-03-23 04:12:04.374910,0.519,99.26,44.41,0
2026-03-23 05:12:04.374910,0.46,99.36,44.97,0
2026-03-23 06:12:04.374910,0.496,102.52,44.32,0
2026-03-23 07:12:04.374910,0.495,101.49,44.44,0
2026-03-23 08:12:04.374910,0.404,100.78,46.42,0
2026-03-23 09:12:04.374910,0.438,98.1,46.12,0
2026-03-23 10:12:04.374910,0.575,100.77,45.46,0
2026-03-23 11:12:04.374910,0.538,97.92,44.84,0
2026-03-23 12:12:04.374910,0.434,99.36,44.07,0
2026-03-23 13:12:04.374910,0.459,101.13,43.83,0
2026-03-23 14:12:04.374910,0.483,99.68,45.85,0
2026-03-23 15:12:04.374910,0.513,98.88,45.47,0
2026-03-23 16:12:04.374910,0.531,104.07,44.88,0
2026-03-23 17:12:04.374910,0.572,98.84,45.2,0
2026-03-23 18:12:04.374910,0.488,99.84,46.28,0
2026-03-23 19:12:04.374910,0.578,100.25,45.03,0
2026-03-23 20:12:04.374910,0.544,97.33,44.77,0
2026-03-23 21:12:04.374910,0.495,100.57,45.06,0
2026-03-23 22:12:04.374910,0.494,95.55,43.73,0
2026-03-23 23:12:04.374910,0.515,101.55,45.1,0
2026-03-24 00:12:04.374910,0.57,97.46,44.72,0
2026-03-24 01:12:04.374910,0.587,97.32,44.79,0
2026-03-24 02:12:04.374910,0.537,99.51,45.35,0
2026-03-24 03:12:04.374910,0.546,100.47,43.58,0
2026-03-24 04:12:04.374910,0.495,96.2,44.67,0
2026-03-24 05:12:04.374910,0.539,101.64,46.12,0
2026-03-24 06:12:04.374910,0.544,101.36,43.93,0
2026-03-24 07:12:04.374910,0.558,96.63,46.04,0
2026-03-24 08:12:04.374910,0.533,102.32,45.08,0
2026-03-24 09:12:04.374910,0.518,96.91,46.03,0
2026-03-24 10:12:04.374910,0.494,101.44,45.35,0
2026-03-24 11:12:04.374910,0.513,100.4,44.73,0
2026-03-24 12:12:04.374910,0.579,96.75,46.71,0
2026-03-24 13:12:04.374910,0.515,97.54,44.85,0
2026-03-24 14:12:04.374910,0.46,98.73,45.45,0
2026-03-24 15:12:04.374910,0.501,96.85,46.42,0
2026-03-24 16:12:04.374910,0.57,94.51,45.12,0
2026-03-24 17:12:04.374910,0.442,99.61,44.75,0
2026-03-24 18:12:04.374910,0.553,97.05,44.86,0
2026-03-24 19:12:04.374910,0.5,99.55,46.09,0
2026-03-24 20:12:04.374910,0.463,101.52,45.73,0
2026-03-24 21:12:04.374910,0.466,99.02,45.0,0
2026-03-24 22:12:04.374910,0.562,97.7,45.93,0
2026-03-24 23:12:04.374910,0.607,95.66,45.3,0
2026-03-25 00:12:04.374910,0.471,100.34,45.43,0
2026-03-25 01:12:04.374910,0.55,99.72,46.14,0
2026-03-25 02:12:04.374910,0.479,97.1,43.84,0
2026-03-25 03:12:04.374910,0.444,99.38,42.91,0
2026-03-25 04:12:04.374910,0.438,102.67,44.33,0
2026-03-25 05:12:04.374910,0.566,99.67,44.55,0
2026-03-25 06:12:04.374910,0.457,100.73,45.38,0
2026-03-25 07:12:04.374910,0.521,101.82,44.89,0
2026-03-25 08:12:04.374910,0.527,100.27,43.51,0
2026-03-25 09:12:04.374910,0.477,101.19,45.84,0
2026-03-25 10:12:04.374910,0.499,99.19,45.07,0
2026-03-25 11:12:04.374910,0.536,100.92,47.27,0
2026-03-25 12:12:04.374910,0.443,102.51,45.06,0
2026-03-25 13:12:04.374910,0.541,103.89,44.81,0
2026-03-25 14:12:04.374910,0.535,98.54,44.94,0
2026-03-25 15:12:04.374910,0.546,101.7,45.12,0
2026-03-25 16:12:04.374910,0.549,97.32,44.14,0
2026-03-25 17:12:04.374910,0.48,98.43,44.9,0
2026-03-25 18:12:04.374910,0.481,97.16,45.53,0
2026-03-25 19:12:04.374910,0.447,99.72,42.96,0
2026-03-25 20:12:04.374910,0.467,101.66,41.6,0
2026-03-25 21:12:04.374910,0.508,101.18,44.26,0
2026-03-25 22:12:04.374910,0.58,104.16,44.35,0
2026-03-25 23:12:04.374910,0.528,101.08,45.32,0
2026-03-26 00:12:04.374910,0.422,98.16,44.97,0
2026-03-26 01:12:04.374910,0.454,101.21,44.48,0
2026-03-26 02:12:04.374910,0.53,98.62,46.02,0
2026-03-26 03:12:04.374910,0.511,95.8,43.68,0
2026-03-26 04:12:04.374910,0.493,103.3,44.28,0
2026-03-26 05:12:04.374910,0.472,97.63,44.26,0
2026-03-26 06:12:04.374910,0.454,98.33,44.67,0
2026-03-26 07:12:04.374910,0.539,97.5,45.26,0
2026-03-26 08:12:04.374910,0.497,99.66,45.0,0
2026-03-26 09:12:04.374910,0.41,100.8,44.07,0
2026-03-26 10:12:04.374910,0.516,97.9,44.94,0
2026-03-26 11:12:04.374910,0.508,98.65,44.9,0
2026-03-26 12:12:04.374910,0.432,97.67,45.67,0
2026-03-26 13:12:04.374910,0.499,104.66,45.0,0
2026-03-26 14:12:04.374910,0.45,99.69,43.58,0
2026-03-26 15:12:04.374910,0.474,100.22,44.97,0
2026-03-26 16:12:04.374910,0.472,100.2,44.99,0
2026-03-26 17:12:04.374910,0.542,96.56,44.64,0
2026-03-26 18:12:04.374910,0.489,99.45,46.21,0
